fpr,,tpr,thresholds,,,,,,,
0,1,0,1.9868149,,,,,,,
0,1,0.025,0.98681486,,,,,,,
0.001455604,0.998544396,0.025,0.9741866,,,,,,,
0.001455604,0.998544396,0.05,0.9696548,,,,,,,
0.00727802,0.99272198,0.05,0.9271528,,,,,,,
0.00727802,0.99272198,0.075,0.9234318,,,,,,,
0.013100437,0.986899563,0.075,0.8798059,,,,threshold,0.64 ,0.50 ,0.41 
0.013100437,0.986899563,0.175,0.87214243,,,,sensitivity,0.68 ,0.80 ,0.93 
0.020378457,0.979621543,0.175,0.8537881,,,,specificity,0.86 ,0.70 ,0.42 
0.020378457,0.979621543,0.2,0.8531364,,,,,,,
0.021834061,0.978165939,0.2,0.8502228,,,,,,,
0.021834061,0.978165939,0.225,0.8499072,,,,0.138282387,0.861717613,0.675,0.6400669
0.026200873,0.973799127,0.225,0.8379518,,,,,0.695778748,0.8,0.49548802
0.026200873,0.973799127,0.25,0.8350183,,,,0.58224163,0.41775837,0.925,0.40908375
0.027656477,0.972343523,0.25,0.8190113,,,,,,,
0.027656477,0.972343523,0.275,0.81693864,,,,,,,
0.03202329,0.96797671,0.275,0.8090987,,,,,,,
0.03202329,0.96797671,0.3,0.8084848,,,,,,,
0.033478894,0.966521106,0.3,0.8052356,,,,,,,
0.033478894,0.966521106,0.325,0.80308026,,,,,,,
0.048034934,0.951965066,0.325,0.7840092,,,,,,,
0.048034934,0.951965066,0.35,0.7817814,,,,,,,
0.056768559,0.943231441,0.35,0.7757363,,,,,,,
0.056768559,0.943231441,0.375,0.77571136,,,,,,,
0.058224163,0.941775837,0.375,0.76867163,,,,,,,
0.058224163,0.941775837,0.45,0.7664886,,,,,,,
0.069868996,0.930131004,0.45,0.734223,,,,,,,
0.069868996,0.930131004,0.475,0.7296549,,,,,,,
0.075691412,0.924308588,0.475,0.7186551,,,,,,,
0.075691412,0.924308588,0.5,0.7180348,,,,,,,
0.07860262,0.92139738,0.5,0.7128437,,,,,,,
0.07860262,0.92139738,0.525,0.711588,,,,,,,
0.080058224,0.919941776,0.525,0.7077636,,,,,,,
0.080058224,0.919941776,0.55,0.7034577,,,,,,,
0.106259098,0.893740902,0.55,0.6858419,,,,,,,
0.106259098,0.893740902,0.575,0.6795098,,,,,,,
0.113537118,0.886462882,0.575,0.67190576,,,,,,,
0.113537118,0.886462882,0.625,0.66645616,,,,,,,
0.133915575,0.866084425,0.625,0.6458062,,,,,,,
0.133915575,0.866084425,0.675,0.64240074,,,,,,,
0.138282387,0.861717613,0.675,0.6400669,,,,,,,
0.138282387,0.861717613,0.7,0.6393882,,,,,,,
0.200873362,0.799126638,0.7,0.57431316,,,,,,,
0.200873362,0.799126638,0.725,0.5740823,,,,,,,
0.216885007,0.783114993,0.725,0.5585862,,,,,,,
0.216885007,0.783114993,0.75,0.5581567,,,,,,,
0.232896652,0.767103348,0.75,0.5479844,,,,,,,
0.232896652,0.767103348,0.775,0.5479506,,,,,,,
0.23580786,0.76419214,0.775,0.54435706,,,,,,,
0.23580786,0.76419214,0.8,0.5441114,,,,,,,
0.304221252,0.695778748,0.8,0.49548802,,,,,,,
0.304221252,0.695778748,0.825,0.49509197,,,,,,,
0.340611354,0.659388646,0.825,0.47308868,,,,,,,
0.340611354,0.659388646,0.85,0.4709134,,,,,,,
0.360989811,0.639010189,0.85,0.46318492,,,,,,,
0.360989811,0.639010189,0.875,0.46157196,,,,,,,
0.468704512,0.531295488,0.875,0.428003,,,,,,,
0.468704512,0.531295488,0.9,0.4277567,,,,,,,
0.58224163,0.41775837,0.9,0.40908813,,,,,,,
0.58224163,0.41775837,0.925,0.40908375,,,,,,,
0.746724891,0.253275109,0.925,0.40535742,,,,,,,
0.746724891,0.253275109,0.95,0.40535522,,,,,,,
0.755458515,0.244541485,0.95,0.40531927,,,,,,,
0.755458515,0.244541485,0.975,0.40531737,,,,,,,
0.836972344,0.163027656,0.975,0.40512812,,,,,,,
0.839883552,0.160116448,0.975,0.40512645,,,,,,,
0.880640466,0.119359534,0.975,0.4050919,,,,,,,
0.883551674,0.116448326,0.975,0.4050845,,,,,,,
0.883551674,0.116448326,1,0.40508315,,,,,,,
0.994177584,0.005822416,1,0.40495935,,,,,,,
0.997088792,0.002911208,1,0.40495732,,,,,,,
1,0,1,0.40491298,,,,,,,
